VideoID,CommentDate,UserName,Comment,Like,ScrapeDate
PMuEX5Qbmzo,2024-08-15 13:53:54,@noelnada5699,Pi Network,0,2026-05-16 10:11:28.837392
mODGGIy9JZE,2025-11-01 03:40:15,@opahaxel6638,Pi network,15,2026-05-16 10:11:17.874769
YLq9NVWk23U,2022-12-03 09:33:22,@wixdwiex7325,Pi network,2,2026-05-16 10:11:39.628568
ebkamQER1nM,2024-08-08 01:10:02,@dahlankhan86,Pi network to the moon,0,2026-05-16 10:11:15.117275
SxMdI5sabb0,2024-08-08 01:12:47,@dahlankhan86,Pi network to the moon,0,2026-05-16 10:11:19.608160
ebkamQER1nM,2025-11-15 00:22:57,@faisalruvfi3763,Selama ini pakai dompet digital bukan rupiah?,0,2026-05-16 10:11:10.048788
ebkamQER1nM,2025-11-15 00:23:52,@faisalruvfi3763,Selama ini pakai dompet digital bukan rupiah?,0,2026-05-16 10:11:10.048787
ebkamQER1nM,2025-11-15 00:25:17,@faisalruvfi3763,Selama ini pakai dompet digital bukan rupiah?,0,2026-05-16 10:11:10.048786
ebkamQER1nM,2025-11-15 00:25:41,@faisalruvfi3763,Selama ini pakai dompet digital bukan rupiah?,0,2026-05-16 10:11:10.048785
ebkamQER1nM,2025-11-15 00:22:46,@faisalruvfi3763,Selama ini pakai dompet digital bukan rupiah?,0,2026-05-16 10:11:10.048788
gU62EuPDWaY,2026-05-08 19:35:46,@astinaputrawb,Setuju,1,2026-05-16 10:11:04.719208
Bn_MTSqW3bE,2022-12-18 07:57:26,@prito1248,Setuju,3,2026-05-16 10:11:49.586526
KqjkU_AQCJE,2026-01-17 11:56:49,@awanangkasa1984,Setuju,0,2026-05-16 10:11:38.100641
Bn_MTSqW3bE,2022-12-30 04:28:49,@aktipisKW,Setuju,0,2026-05-16 10:11:45.580807
SxMdI5sabb0,2023-01-31 14:42:33,@Rmaulancau,Setuju,1,2026-05-16 10:11:23.424502
